zip;county;state;geopoint;timezone
01102;HAMPDEN COUNTY;MA;42.170731,-72.604842;America/New_York
01103;HAMPDEN COUNTY;MA;42.103294,-72.59112;America/New_York
01104;HAMPDEN COUNTY;MA;42.130343,-72.57338;America/New_York
01105;HAMPDEN COUNTY;MA;42.096644,-72.5798;America/New_York
01106;HAMPDEN COUNTY;MA;42.050395,-72.5712;America/New_York
01107;HAMPDEN COUNTY;MA;42.120193,-72.6061;America/New_York
01108;HAMPDEN COUNTY;MA;42.084094,-72.55523;America/New_York
01109;HAMPDEN COUNTY;MA;42.116277,-72.55031;America/New_York
01111;HAMPDEN COUNTY;MA;42.170731,-72.604842;America/New_York
01115;HAMPDEN COUNTY;MA;42.102894,-72.591633;America/New_York
01116;HAMPDEN COUNTY;MA;42.170731,-72.604842;America/New_York
01118;HAMPDEN COUNTY;MA;42.093144,-72.5291;America/New_York
01119;HAMPDEN COUNTY;MA;42.128442,-72.50932;America/New_York
01128;HAMPDEN COUNTY;MA;42.095344,-72.48857;America/New_York
01129;HAMPDEN COUNTY;MA;42.121031,-72.4896;America/New_York
01133;HAMPDEN COUNTY;MA;42.170731,-72.604842;America/New_York
01138;HAMPDEN COUNTY;MA;42.170731,-72.604842;America/New_York
01139;HAMPDEN COUNTY;MA;42.170731,-72.604842;America/New_York
01144;HAMPDEN COUNTY;MA;42.101796,-72.59151;America/New_York
01151;HAMPDEN COUNTY;MA;42.153926,-72.50531;America/New_York
01152;HAMPDEN COUNTY;MA;42.170731,-72.604842;America/New_York
01195;HAMPDEN COUNTY;MA;42.1, -72.58;America/New_York
01199;HAMPDEN COUNTY;MA;42.119943,-72.604983;America/New_York
01201;BERKSHIRE COUNTY;MA;42.45384,-73.254;America/New_York
01202;BERKSHIRE COUNTY;MA;42.3929,-73.228483;America/New_York
01203;BERKSHIRE COUNTY;MA;42.3929,-73.228483;America/New_York
01220;BERKSHIRE COUNTY;MA;42.619727,-73.11842;America/New_York
01222;BERKSHIRE COUNTY;MA;42.057496,-73.32177;America/New_York
01223;BERKSHIRE COUNTY;MA;42.314449,-73.09335;America/New_York
01224;BERKSHIRE COUNTY;MA;42.3929,-73.228483;America/New_York
01225;BERKSHIRE COUNTY;MA;42.551731,-73.1653;America/New_York
01226;BERKSHIRE COUNTY;MA;42.476575,-73.11547;America/New_York
01227;BERKSHIRE COUNTY;MA;42.516145,-73.092852;America/New_York
01229;BERKSHIRE COUNTY;MA;42.279292,-73.343545;America/New_York
01230;BERKSHIRE COUNTY;MA;42.189715,-73.35249;America/New_York
01235;BERKSHIRE COUNTY;MA;42.433661,-73.09278;America/New_York
01236;BERKSHIRE COUNTY;MA;42.266874,-73.36236;America/New_York
01237;BERKSHIRE COUNTY;MA;42.557346,-73.24364;America/New_York
01238;BERKSHIRE COUNTY;MA;42.299263,-73.2327;America/New_York
01240;BERKSHIRE COUNTY;MA;42.36237,-73.27683;America/New_York
01242;BERKSHIRE COUNTY;MA;42.336557,-73.24599;America/New_York
01243;HAMPSHIRE COUNTY;MA;42.356088,-73.010448;America/New_York
01244;BERKSHIRE COUNTY;MA;42.139104,-73.20312;America/New_York
01245;BERKSHIRE COUNTY;MA;42.180659,-73.20849;America/New_York
01247;BERKSHIRE COUNTY;MA;42.696064,-73.10145;America/New_York
01252;BERKSHIRE COUNTY;MA;42.198648,-73.446234;America/New_York
01253;BERKSHIRE COUNTY;MA;42.198403,-73.10205;America/New_York
01254;BERKSHIRE COUNTY;MA;42.374711,-73.36336;America/New_York
01255;BERKSHIRE COUNTY;MA;42.088973,-73.12444;America/New_York
01256;BERKSHIRE COUNTY;MA;42.592506,-73.01123;America/New_York
01257;BERKSHIRE COUNTY;MA;42.102694,-73.36591;America/New_York
01258;BERKSHIRE COUNTY;MA;42.103122,-73.45734;America/New_York
01259;BERKSHIRE COUNTY;MA;42.0645,-73.24674;America/New_York
01260;BERKSHIRE COUNTY;MA;42.286586,-73.313274;America/New_York
01262;BERKSHIRE COUNTY;MA;42.283216,-73.31423;America/New_York
01263;BERKSHIRE COUNTY;MA;42.3929,-73.228483;America/New_York
01264;BERKSHIRE COUNTY;MA;42.224905,-73.20394;America/New_York
01266;BERKSHIRE COUNTY;MA;42.328535,-73.36407;America/New_York
01267;BERKSHIRE COUNTY;MA;42.689962,-73.22355;America/New_York
01270;BERKSHIRE COUNTY;MA;42.443726,-73.116127;America/New_York
01301;FRANKLIN COUNTY;MA;42.605524,-72.60098;America/New_York
01302;FRANKLIN COUNTY;MA;42.522178,-72.624164;America/New_York
01330;FRANKLIN COUNTY;MA;42.521131,-72.81116;America/New_York
01331;WORCESTER COUNTY;MA;42.579931,-72.20836;America/New_York
01337;FRANKLIN COUNTY;MA;42.678023,-72.55569;America/New_York
01338;FRANKLIN COUNTY;MA;42.569498,-72.802;America/New_York
01339;FRANKLIN COUNTY;MA;42.626858,-72.87939;America/New_York
01340;FRANKLIN COUNTY;MA;42.673371,-72.73104;America/New_York
01341;FRANKLIN COUNTY;MA;42.508313,-72.70403;America/New_York
01342;FRANKLIN COUNTY;MA;42.542322,-72.6091;America/New_York
01343;BERKSHIRE COUNTY;MA;42.642666,-72.986231;America/New_York
01344;FRANKLIN COUNTY;MA;42.607051,-72.41396;America/New_York
01346;FRANKLIN COUNTY;MA;42.669255,-72.80494;America/New_York
01347;FRANKLIN COUNTY;MA;42.556558,-72.518104;America/New_York
01349;FRANKLIN COUNTY;MA;42.5737,-72.50525;America/New_York
01350;FRANKLIN COUNTY;MA;42.712257,-72.97629;America/New_York
01351;FRANKLIN COUNTY;MA;42.534976,-72.52522;America/New_York
01354;FRANKLIN COUNTY;MA;42.522178,-72.624164;America/New_York
01355;FRANKLIN COUNTY;MA;42.485899,-72.33345;America/New_York
01360;FRANKLIN COUNTY;MA;42.682285,-72.45649;America/New_York
